id,title,uploadedAt,duration
FMX-6LiLaB8,أبو بكر الصدّيق.. رفيق الهجرة والدعوة والجهاد,2025-03-07,00:14:47
TS555GNU9_4,عمر بن الخطاب.. قصة صحابي تحول من عدو إلى فاروق الأمة,2025-04-21,00:14:09
y2oN-CB-ZsE,سعد بن أبي وقاص.. بطل القادسية وفاتح مدائن كسرى,2025-05-25,00:14:48
l57Q2QHOJ4Q,خالد بن الوليد.. سيف الله المسلول الذي لم ينكسر,2025-07-06,00:14:32
Em03PLvmB50,الزبير بن العوام.. رجل بألف رجل,2025-07-23,00:15:07
sBeAFj0foD8,عمرو بن العاص.. فاتح مصر وداهية العرب,2025-10-12,00:15:03
1qNaYo2bJ9U,البراء بن مالك.. أسد اليمامة وصاحب الدعوة المستجابة,2025-11-17,00:14:22
_vuX27DeYAk,"عبد الله بن أبي سرح.. فاتح النوبة وبطل "ذات الصواري",2025-12-24,00:13:21
