id,title,uploadedAt,duration
QhuGTc7eMOI,كيف تتّزن نفسيًا؟,2022-02-23,01:08:00
d9gnISDHAvU,كيف تتّزن مهنيًا؟,2022-05-08,01:26:48
NsmTZ-BmMrI,كيف تتَّزن عقليًّا؟,2022-06-04,02:08:27
