id,name,thumbnailId,description,participants,language,type,style,classes,categories,playlistsOrder
afla-yaaqeloon,أفلا يعقلون,AYhLE8A5msA,برنامج ديني يحاول الاجابة عن اسئلة دينية صعبة بشكل كرتوني ملائم للشباب وكبار السن,,Arabic,Educational,Story,Kids,Religion,PLDpgXsYdeHc3du66rwZxHJ-I-81KI0Ktq;PLDpgXsYdeHc0rkdKkQzMhnBfHVjF6iRmh;PLDpgXsYdeHc1McN-lvSzCQrQU6dn1VDlP
antropy,أنتروبي,3sXDLo-14Fs,,,Arabic,Educational,Narration,,Nature,PLrYuLEL8KReVQ8hh8DC2VOtHMUVIGo-W8;PLrYuLEL8KReU2t9h5qZiCO0YWond5a6kL
podcast-khutwa,بودكاست خطوة,ChPPnSA7qCM,سلسلة تتحدث عن حال الإنسان المعاصر وماذا خسر بفقدانه بوصلة الإيمان,ياسر الحزيمي,Arabic,Educational,Podcast,,Self,PLsRtYZTCYnEcdpxCcewJ0ARC5WYwiZDjS;PLsRtYZTCYnEf01uYHtfXMYXpuoCJI_KJ9;PLsRtYZTCYnEcevjia1DJLt1FX9URJAsMK;PLsRtYZTCYnEe4cVcPMnPrpoRpvDH-yfeG
