id,name,channel,thumbnailId,description,participants,language,type,style,classes,categories
PLDpgXsYdeHc3du66rwZxHJ-I-81KI0Ktq,الجزء الأول,أفلا يعقلون,AYhLE8A5msA,برنامج ديني يحاول الاجابة عن اسئلة دينية صعبة بشكل كرتوني ملائم للشباب وكبار السن، بحيث ستتعرف على اسئلة دينية واجوبتها في شتى المواضيع العقائدية التي تخطر على بالِ كل إنسان عاقل,,Arabic,Educational,Story,Kids,Religion
PLDpgXsYdeHc0rkdKkQzMhnBfHVjF6iRmh,الجزء الثاني,أفلا يعقلون,F_feJ3zlp7w,في الجزء الثاني، يتجلى محور الإيمان بالله تعالى بأسلوبٍ مؤثر ينمي عمق العقيدة في قلوب الفتية والشباب,,Arabic,Educational,Story,Kids,Religion
PLDpgXsYdeHc1McN-lvSzCQrQU6dn1VDlP,الجزء الثالث,أفلا يعقلون,mVOzhHlENXs,يقدم الجزء الثالث رحلة استكشافيّة مُعمّقة حول التحدّيات الفكريّة التي يطرحها الإلحاد، مُركِّزًا على دحض الشبهات حول القرآن الكريم,,Arabic,Educational,Story,Kids,Religion
PL2mOkmyG-NSTf-dvRLoveKJ7Zukq56BQ8,ليلى والذئب الحكيم,أمّة توون أطفال,WjEymNFkQ9E,,,Arabic,Educational,Story,Kids,Religion
PL2mOkmyG-NSRHIgNmeMkQrJh3JUfal4tu,ليلى وقيس,أمّة توون أطفال,a0Okd5nPz1c,,,Arabic,Educational,Story,Kids,Religion
PLFSeumNRYdhSNDNKVVL3VRQ91zYZrjn6k,نظرية التطور,أمّة توون,mGpDXFF3oiQ,,,Arabic,Awareness,Story,,Religion
PLFSeumNRYdhSuB9T-rMM2Fq9ve57YyN61,مراجعات فكرية لأعمال الرسوم المتحركة,أمّة توون,HX_kPfasNFc,,,Arabic,Awareness,Narration,,Nature
PLFSeumNRYdhRQc1TBxP12w8HiZd1zKCh3,رحلة الباقلاني إلى بلاد الروم,أمّة توون,ce9gjyZkCUs,,,Arabic,Educational,Story,Kids,Religion
PLO7nbsS9Q8mHv9ZTq3xWn63Q2u3yowiLl,أبطال الإسلام,السبيل,_vuX27DeYAk,,,Arabic,Educational,Story,Kids,Religion
PLO7nbsS9Q8mHXX52cyUV2XPDYke8EtOQy,عماد شو,السبيل,_pOe2kUFS2o,برنامج تبسيط العلوم خاص بالسبيل، يقدمه عماد الدين تركماني,عماد الدين تركماني,Arabic,Awareness,Narration,,Nature
PLO7nbsS9Q8mE0JPfSXlf4NZduqdk3532K,أمة مباركة,السبيل,JI4NGbs1zqE,,عبدالصمد شنافي,Arabic,Awareness,Narration,,Religion
PLO7nbsS9Q8mH6ZmiDOHFhsMaMiUkyrRFf,قصة الإيمان,السبيل,HcUT0qvi_9Q,,إبراهيم إسماعيل,Arabic,Awareness,Narration,,Religion
PLO7nbsS9Q8mGfGpic26LzdSrHOhoO6sZT,برنامج لنثبت به فؤادك,السبيل,_o4Ow2Yx4ys,,أحمد عمر,Arabic,Educational,Narration,,Religion
PLO7nbsS9Q8mH_i5Rye4YLtghJGjuO62lt,تاريخ تون,السبيل,PjPcKgdwWeo,سلسلة كرتونية هادفة من إنتاج السبيل تبسط أهم أحداث التاريخ بخلفية إسلامية وبأسلوب يناسب كل الأعمار,,Arabic,Educational,Narration,Kids,Religion
PLrYuLEL8KReWJc2_r0O_zkYp9D2dw6Ioh,فكر,مركز رواسخ,3IKZBdcsZCM,,مازن سلام,Arabic,Awareness,Narration,,Nature
PLrYuLEL8KReVQ8hh8DC2VOtHMUVIGo-W8,انتروبي - الموسم الأول,مركز رواسخ,3sXDLo-14Fs,,,Arabic,Educational,Narration,,Nature
PLrYuLEL8KReU2t9h5qZiCO0YWond5a6kL,انتروبي - الموسم الثاني,مركز رواسخ,r-ml4VRFE4k,,,Arabic,Educational,Narration,,Nature
PLrYuLEL8KReURHrjCxKaEleCvcp3cX5EI,ترجمات,مركز رواسخ,pwjGY1YBVyE,,,English,Awareness,Narration,,Religion
PLrYuLEL8KReXxwNkFkxPA6b9fn1RyPI4U,اسأل ولا تخف,مركز رواسخ,UZn3aec6D2U,,محمد العوضي;سامي عامري;أحمد فتح الباب;محمد الطائي;محمد أمين خلال;مهاب السعيد;حمزة توزوروتس;أيوب أبسومي,Arabic,Awareness,Narration,Kids,Religion
PLrYuLEL8KReWJD2W-NUgCmRnax8Dz-VXa,حوارات,مركز رواسخ,PSRmGIkErjU,,محمد العوضي;سامي عامري;محمد باسل الطائي,Arabic,Awareness,Podcast,,Religion
PLrYuLEL8KReVr_AZzv-zM5QwcJpffbWyb,شحرور.. المفترى عليه؟!,مركز رواسخ,181Luf63KCc,,محمد العوضي;صهيب السقار,Arabic,Awareness,Podcast,,Religion
PLrYuLEL8KReXJUeB1OlqNuNegMFblU3B_,فنجان قهوة,مركز رواسخ,WW3QN_8OodQ,,صهيب السقار,Arabic,Awareness,Narration,,Religion
PLrYuLEL8KReUa9XAvc5FDGi3757yRYrbe,سكة يمين,مركز رواسخ,p7bXpV2l89s,,إسماعيل عرفة,Arabic,Awareness,Narration,,Self
PLrYuLEL8KReW7EpdDYCOhIp_QABwlf93H,مشكاة,مركز رواسخ,T8g5XmVQ3aI,,أحمد عامر,Arabic,Awareness,Narration,,Religion
PLrYuLEL8KReWvqfuZgR-Q7VOI-XQ14Jnb,براءة إبراهيم,مركز رواسخ,QLRPq7jHuTs,,محمد العوضي,Arabic,Awareness,Narration,,Religion
PLvGpI5t1gJ8QJzbA7fP4Iq6XtumVZ2sY6,مع نفسي,فقه النفس,HTG87X8n_jE,"إيجاز الخطوط العريضة لمادة "فقه النفس" وهي مواد مرئية قصيرة، يتبعها بعض المواد التي ضمنتها في دليل مع نفسي للصحة النفسية",عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Podcast,,Self
